# FFCharge Data File
#
# Format: scheme,position,residue,atom,charge
#
# Position: n (n-terminal), n- (n-terminal deprotonated), c (c-terminal), c+ (c-terminal protonated), 5 (5'), 3 (3'), m (middle), (empty for none - water/ion)
#
# Scheme Keys:
#   Protein: amber-ffsb, amber-ff03, charmm
#   DNA:     amber, charmm
#   RNA:     amber, charmm
#   Water:   tip3p, tip3p-fb, spc, spc-e, opc3
#   Ion:     classic

scheme,position,residue,atom,charge

# Protein: amber-ffsb

# ALA - middle
amber-ffsb,n,ASN,HD22,0.4097000
amber-ffsb,n,ASN,C,0.6163000
amber-ffsb,n,ASN,O,-0.5722000

# ASN - c-terminal
amber-ffsb,c,ASN,N,-0.3821000
amber-ffsb,c,ASN,H,0.2681000
amber-ffsb,c,ASN,CA,-0.2080000
amber-ffsb,c,ASN,HA,0.1358000
amber-ffsb,c,ASN,CB,-0.2299000
amber-ffsb,c,ASN,HB2,0.1023000
amber-ffsb,c,ASN,HB3,0.1023000
amber-ffsb,c,ASN,CG,0.7153000
amber-ffsb,c,ASN,OD1,-0.6010000
amber-ffsb,c,ASN,ND2,-0.9084000
amber-ffsb,c,ASN,HD21,0.4150000
amber-ffsb,c,ASN,HD22,0.4150000
amber-ffsb,c,ASN,C,0.8050000
amber-ffsb,c,ASN,O,-0.8147000
amber-ffsb,c,ASN,OXT,-0.8147000

# ASN - n-terminal deprotonated
amber-ffsb,n-,ASN,N,-0.6278000
amber-ffsb,n-,ASN,H1,0.1921000
amber-ffsb,n-,ASN,H2,0.1921000
amber-ffsb,n-,ASN,CA,0.0368000
amber-ffsb,n-,ASN,HA,0.1231000
amber-ffsb,n-,ASN,CB,-0.0283000
amber-ffsb,n-,ASN,HB2,0.0515000
amber-ffsb,n-,ASN,HB3,0.0515000
amber-ffsb,n-,ASN,CG,0.5833000
amber-ffsb,n-,ASN,OD1,-0.5744000
amber-ffsb,n-,ASN,ND2,-0.8634000
amber-ffsb,n-,ASN,HD21,0.4097000
amber-ffsb,n-,ASN,HD22,0.4097000
amber-ffsb,n-,ASN,C,0.6163000
amber-ffsb,n-,ASN,O,-0.5722000

# ASN - c-terminal protonated
amber-ffsb,c+,ASN,N,-0.3821000
amber-ffsb,c+,ASN,H,0.2681000
amber-ffsb,c+,ASN,CA,-0.2080000
amber-ffsb,c+,ASN,HA,0.1358000
amber-ffsb,c+,ASN,CB,-0.2299000
amber-ffsb,c+,ASN,HB2,0.1023000
amber-ffsb,c+,ASN,HB3,0.1023000
amber-ffsb,c+,ASN,CG,0.7153000
amber-ffsb,c+,ASN,OD1,-0.6010000
amber-ffsb,c+,ASN,ND2,-0.9084000
amber-ffsb,c+,ASN,HD21,0.4150000
amber-ffsb,c+,ASN,HD22,0.4150000
amber-ffsb,c+,ASN,C,0.8050000
amber-ffsb,c+,ASN,O,-0.5472000
amber-ffsb,c+,ASN,OXT,-0.5472000
amber-ffsb,c+,ASN,HOXT,0.4650000

# ASP - middle
amber-ffsb,m,ASP,N,-0.5163000
amber-ffsb,m,ASP,H,0.2936000
amber-ffsb,m,ASP,CA,0.0381000
amber-ffsb,m,ASP,HA,0.0880000
amber-ffsb,m,ASP,CB,-0.0303000
amber-ffsb,m,ASP,HB2,-0.0122000
amber-ffsb,m,ASP,HB3,-0.0122000
amber-ffsb,m,ASP,CG,0.7994000
amber-ffsb,m,ASP,OD1,-0.8014000
amber-ffsb,m,ASP,OD2,-0.8014000
amber-ffsb,m,ASP,C,0.5366000
amber-ffsb,m,ASP,O,-0.5819000

# ASP - n-terminal
amber-ffsb,n,ASP,N,0.0782000
amber-ffsb,n,ASP,H1,0.2200000
amber-ffsb,n,ASP,H2,0.2200000
amber-ffsb,n,ASP,H3,0.2200000
amber-ffsb,n,ASP,CA,0.0292000
amber-ffsb,n,ASP,HA,0.1141000
amber-ffsb,n,ASP,CB,-0.0235000
amber-ffsb,n,ASP,HB2,-0.0169000
amber-ffsb,n,ASP,HB3,-0.0169000
amber-ffsb,n,ASP,CG,0.8194000
amber-ffsb,n,ASP,OD1,-0.8084000
amber-ffsb,n,ASP,OD2,-0.8084000
amber-ffsb,n,ASP,C,0.5621000
amber-ffsb,n,ASP,O,-0.5889000

# ASP - c-terminal
amber-ffsb,c,ASP,N,-0.5192000
amber-ffsb,c,ASP,H,0.3055000
amber-ffsb,c,ASP,CA,-0.1817000
amber-ffsb,c,ASP,HA,0.1046000
amber-ffsb,c,ASP,CB,-0.0677000
amber-ffsb,c,ASP,HB2,-0.0212000
amber-ffsb,c,ASP,HB3,-0.0212000
amber-ffsb,c,ASP,CG,0.8851000
amber-ffsb,c,ASP,OD1,-0.8162000
amber-ffsb,c,ASP,OD2,-0.8162000
amber-ffsb,c,ASP,C,0.7256000
amber-ffsb,c,ASP,O,-0.7887000
amber-ffsb,c,ASP,OXT,-0.7887000

# ASP - n-terminal deprotonated
amber-ffsb,n-,ASP,N,-0.7018000
